parameter_code,category,entity,current_code_value,unit,source_value_or_range,source_status,source_type,value_match_to_source,source_reference,source_url,formula_or_derivation,notes,enzyme,reaction_id,substrate,value_error,error_unit,model_usage,original_file,record_id,name_zh,meaning_zh,evidence_grade,v9_value,v9_unit,v9_input_mode,v9_active,v9_model_usage,etot_scan_scope,scan_method,scan_values,scan_unit,baseline_capacity,capacity_unit,capacity_formula,v9_change,v9_validation_source,report_note_zh
Etot.LS,Etot,LS (Mentha spicata),3.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,LS,LIMS_MS_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P033,檸檬烯合成酶總濃度,檸檬烯合成酶的有效總量；目前是主要容量瓶頸候選。,D,3.0,uM,registry_baseline_plus_scenario_override,true,V9 第一階段 OAT Etot 掃描的基準值與覆寫目標。,phase1_OAT_active,log-scale factors 0.01;0.1;1;10;100，其他 Etot 固定基準,0.03;0.3;3;30;300,uM,0.0029322,mmol/gDW/h,capacityFlux = 3.6 × kcat[s^-1] × Etot[uM] × conv.cellVolume_L_per_gDW,V9 改為真正生效的掃描輸入，不再只改表內 Etot 而沿用固定 Vmax。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,kcat 仍是未驗證暫定值；Etot 與 kcat 在目前模型中不可單獨識別。
Vmax.DXS,Vmax,DXS,14.76,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 4.1 * 1.0,DXS,DXS_T7_het,,,,V8 capacityOnly: ub = exprFactor * current_code_value * cellVolume_L_per_gDW,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P034,DXS 基準最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,14.76,mM/hr,derived_baseline_reference,false,僅作基準核對；V9 不應直接讀取，執行時由 kcat × Etot 重算。,,,,,0.04428,mmol/gDW/h,Vmax = 3.6 × kcat × Etot；capacityFlux = Vmax × cellVolume,由 V8 的直接輸入改為 V9 的核對用衍生值。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 4.1 * 1.0
Vmax.DXR,Vmax,DXR/IspC,417.6,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 116.0 * 1.0,DXR,,,,,,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P035,DXR/IspC 的最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,417.6,mM/hr,legacy_baseline_only,false,V9 第一階段不讀取；若未來接入該酵素，應改由 kcat × Etot 即時計算。,,,,,,,,保留歷史基準值，但排除首階段運算。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 116.0 * 1.0
Vmax.IspD,Vmax,IspD,176.4,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 49.0 * 1.0,IspD,,,,,,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P036,IspD 的最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,176.4,mM/hr,legacy_baseline_only,false,V9 第一階段不讀取；若未來接入該酵素，應改由 kcat × Etot 即時計算。,,,,,,,,保留歷史基準值，但排除首階段運算。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 49.0 * 1.0
Vmax.IspE,Vmax,IspE,60.48,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 16.8 * 1.0,IspE,,,,,,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P037,IspE 的最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,60.48,mM/hr,legacy_baseline_only,false,V9 第一階段不讀取；若未來接入該酵素，應改由 kcat × Etot 即時計算。,,,,,,,,保留歷史基準值，但排除首階段運算。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 16.8 * 1.0
Vmax.IspF,Vmax,IspF,3.6,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 1.0 * 1.0,IspF,,,,,,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P038,IspF 的最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,3.6,mM/hr,legacy_baseline_only,false,V9 第一階段不讀取；若未來接入該酵素，應改由 kcat × Etot 即時計算。,,,,,,,,保留歷史基準值，但排除首階段運算。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 1.0 * 1.0
Vmax.IspG,Vmax,HDS/IspG,4.32,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 0.4 * 3.0,IspG,,,,,,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P039,HDS/IspG 的最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,4.32,mM/hr,legacy_baseline_only,false,V9 第一階段不讀取；若未來接入該酵素，應改由 kcat × Etot 即時計算。,,,,,,,,保留歷史基準值，但排除首階段運算。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 0.4 * 3.0
Vmax.IspH,Vmax,HDR/IspH,67.68,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 18.8 * 1.0,IspH,,,,,,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P040,HDR/IspH 的最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,67.68,mM/hr,legacy_baseline_only,false,V9 第一階段不讀取；若未來接入該酵素，應改由 kcat × Etot 即時計算。,,,,,,,,保留歷史基準值，但排除首階段運算。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 18.8 * 1.0
Vmax.IDI,Vmax,IDI,1.1880000000000002,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 0.33 * 1.0,IDI,IDI_T7_IPP_to_DMAPP_het;IDI_T7_DMAPP_to_IPP_het,,,,V8 capacityOnly: ub = exprFactor * current_code_value * cellVolume_L_per_gDW,"derived from Volke et al. 2019, Microbial Cell Factories 18:192 + LimoneneCOBRA008.m",P041,IDI 基準最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,1.1880000000000002,mM/hr,derived_baseline_reference,false,僅作基準核對；V9 不應直接讀取，執行時由 kcat × Etot 重算。,,,,,0.003564,mmol/gDW/h,Vmax = 3.6 × kcat × Etot；capacityFlux = Vmax × cellVolume,由 V8 的直接輸入改為 V9 的核對用衍生值。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 0.33 * 1.0
Vmax.GPPS,Vmax,GPPS (generic EC 2.5.1.1 proxy; not S80F-specific),5.04,mM/hr,5.04 mM/hr (derived),derived_from_updated_Km_xlsx_and_scenario_Etot,derived_value,derived,Km.xlsx (kcat.GPPS) + LimoneneCOBRA008.m (Etot.GPPS),https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.1#KM%20VALUE%20[mM],Vmax = 3.6 * 1.4 s^-1 * 1.0 uM = 5.04 mM/hr,"Updated terminal simulation capacity. The kcat remains a generic GPPS proxy, not a direct IspA S80F measurement; Vmax changes if Etot.GPPS changes.",GPPS,GPPS_S80F_het,,,,V8 capacityOnly: ub = exprFactor * current_code_value * cellVolume_L_per_gDW,derived from Km.xlsx + LimoneneCOBRA008.m,P042,GPPS 基準最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,5.04,mM/hr,derived_baseline_reference,false,僅作基準核對；V9 不應直接讀取，執行時由 kcat × Etot 重算。,,,,,0.01512,mmol/gDW/h,Vmax = 3.6 × kcat × Etot；capacityFlux = Vmax × cellVolume,由 V8 的直接輸入改為 V9 的核對用衍生值。,Km(1).xlsx，工作表1；2026-07-26 重新核對,"Updated terminal simulation capacity. The kcat remains a generic GPPS proxy, not a direct IspA S80F measurement; Vmax changes if Etot.GPPS changes."
Vmax.LS,Vmax,LS (Mentha spicata),0.9774,mM/hr,,derived_from_code,derived_value,derived,Derived from current code: Vmax = 3.6 * kcat[s^-1] * Etot[uM],,Computed for the current script settings only; changes when Etot changes.,Vmax = 3.6 * 0.0905 * 3.0,LS,LIMS_MS_het,,,,V8 capacityOnly: ub = exprFactor * current_code_value * cellVolume_L_per_gDW,derived from unverified kcat.LS + LimoneneCOBRA008.m,P043,檸檬烯合成酶基準最大反應速率,由 kcat × Etot 得到的最大濃度反應速率；第九版會在執行時重新計算。,D,0.9774,mM/hr,derived_baseline_reference,false,僅作基準核對；V9 不應直接讀取，執行時由 kcat × Etot 重算。,,,,,0.0029322,mmol/gDW/h,Vmax = 3.6 × kcat × Etot；capacityFlux = Vmax × cellVolume,由 V8 的直接輸入改為 V9 的核對用衍生值。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Vmax = 3.6 * 0.0905 * 3.0
mu_per_hr,scenario_or_assumption,model,0.1,hr^-1,,scenario_value,user_set_in_script,not_applicable,,,,Current simulation choice; should be replaced by measured growth rate for quantitative fitting.,model,,hr,,,,LimoneneCOBRA008.m,P044,model,情境設定或模型假設，並非固定生物常數。,D,0.1,hr^-1,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Current simulation choice; should be replaced by measured growth rate for quantitative fitting.
kout_limonene_per_hr,scenario_or_assumption,model,0.05,hr^-1,,scenario_value,user_set_in_script,not_applicable,,,,Current simulation choice for limonene loss/extraction.,model,,hr,,,,LimoneneCOBRA008.m,P045,model,情境設定或模型假設，並非固定生物常數。,D,0.05,hr^-1,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Current simulation choice for limonene loss/extraction.
Fin_GAP_mM_per_hr,scenario_or_assumption,model,0.5,mM/hr,,scenario_value,user_set_in_script,not_applicable,,,,Current simulation choice for precursor supply from central metabolism.,model,,hr,,,,LimoneneCOBRA008.m,P046,model,情境設定或模型假設，並非固定生物常數。,D,0.5,mM/hr,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Current simulation choice for precursor supply from central metabolism.
Fin_PYR_mM_per_hr,scenario_or_assumption,model,0.5,mM/hr,,scenario_value,user_set_in_script,not_applicable,,,,Current simulation choice for precursor supply from central metabolism.,model,,hr,,,,LimoneneCOBRA008.m,P047,model,情境設定或模型假設，並非固定生物常數。,D,0.5,mM/hr,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Current simulation choice for precursor supply from central metabolism.
const.ATP,scenario_or_assumption,model,2.0,mM,,scenario_value,user_set_in_script,not_applicable,,,,Held constant in the current reduced ODE model.,ATP,,,,,,LimoneneCOBRA008.m,P048,model,情境設定或模型假設，並非固定生物常數。,D,2.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Held constant in the current reduced ODE model.
const.CTP,scenario_or_assumption,model,1.0,mM,,scenario_value,user_set_in_script,not_applicable,,,,Held constant in the current reduced ODE model.,CTP,,,,,,LimoneneCOBRA008.m,P049,model,情境設定或模型假設，並非固定生物常數。,D,1.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Held constant in the current reduced ODE model.
const.NADPH,scenario_or_assumption,model,0.2,mM,,scenario_value,user_set_in_script,not_applicable,,,,Held constant in the current reduced ODE model.,NADPH,,,,,,LimoneneCOBRA008.m,P050,model,情境設定或模型假設，並非固定生物常數。,D,0.2,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Held constant in the current reduced ODE model.
const.RED,scenario_or_assumption,model,0.5,mM,,scenario_value,user_set_in_script,not_applicable,,,,Held constant in the current reduced ODE model; tuning this had major effect on IspG/IspH module.,RED,,,,,,LimoneneCOBRA008.m,P051,model,情境設定或模型假設，並非固定生物常數。,D,0.5,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Held constant in the current reduced ODE model; tuning this had major effect on IspG/IspH module.
Ki.DXS_IPP,scenario_or_assumption,model,0.08,mM,,mechanistic_placeholder,placeholder_based_on_external_mechanistic_evidence,not_applicable,Banerjee et al. 2013 and later mechanistic work support DXS feedback by IPP/DMAPP,https://pubmed.ncbi.nlm.nih.gov/23612965/,,"Placeholder value; DXS feedback is mechanistically supported, but this exact Ki was not validated from the uploaded xlsx.",DXS,,IPP,,,,Banerjee et al. 2013 + LimoneneCOBRA008.m placeholder,P052,model 的抑制常數,情境設定或模型假設，並非固定生物常數。,D,0.08,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,"Placeholder value; DXS feedback is mechanistically supported, but this exact Ki was not validated from the uploaded xlsx."
Ki.DXS_DMAPP,scenario_or_assumption,model,0.08,mM,,mechanistic_placeholder,placeholder_based_on_external_mechanistic_evidence,not_applicable,Banerjee et al. 2013 and later mechanistic work support DXS feedback by IPP/DMAPP,https://pubmed.ncbi.nlm.nih.gov/23612965/,,"Placeholder value; DXS feedback is mechanistically supported, but this exact Ki was not validated from the uploaded xlsx.",DXS,,DMAPP,,,,Banerjee et al. 2013 + LimoneneCOBRA008.m placeholder,P053,model 的抑制常數,情境設定或模型假設，並非固定生物常數。,D,0.08,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,"Placeholder value; DXS feedback is mechanistically supported, but this exact Ki was not validated from the uploaded xlsx."
frac_DMAPP_from_IspH,scenario_or_assumption,model,0.15,fraction,,scenario_value,user_set_in_script,not_applicable,,,,Model-structure assumption controlling direct DMAPP fraction from IspH.,model,,IspH,,,,LimoneneCOBRA008.m,P054,model,情境設定或模型假設，並非固定生物常數。,D,0.15,fraction,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Model-structure assumption controlling direct DMAPP fraction from IspH.
x0.GAP,initial_condition,GAP,0.1,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,GAP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P055,GAP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.1,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.PYR,initial_condition,PYR,0.1,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,PYR,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P056,PYR 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.1,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.DXP,initial_condition,DXP,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,DXP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P057,DXP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.MEP,initial_condition,MEP,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,MEP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P058,MEP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.CDPME,initial_condition,CDPME,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,CDPME,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P059,CDPME 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.CDPMEP,initial_condition,CDPMEP,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,CDPMEP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P060,CDPMEP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.MEcPP,initial_condition,MEcPP,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,MEcPP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P061,MEcPP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.HMBPP,initial_condition,HMBPP,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,HMBPP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P062,HMBPP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.IPP,initial_condition,IPP,0.01,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,IPP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P063,IPP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.01,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.DMAPP,initial_condition,DMAPP,0.01,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,DMAPP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P064,DMAPP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.01,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.GPP,initial_condition,GPP,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,GPP,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P065,GPP 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
x0.LIM,initial_condition,LIM,0.0,mM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Initial condition for the ODE solver.,LIM,,,,,Initial condition for ODE-style MEP models; not directly used by V8 COBRA dFBA.,LimoneneCOBRA008.m,P066,LIM 初始濃度,模擬開始時的濃度；部分為舊 ODE 模型保留值。,D,0.0,mM,legacy_registry_only,false,舊 ODE/情境列；V9 COBRA dFBA 不直接使用。,,,,,,,,保留稽核資訊，但明確標示未進入 V9 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Initial condition for the ODE solver.
Km.PaIDS1_IPP,Km,PaIDS1_IPP,0.0112,mM,11.2±1.8 uM,verified_from_uploaded_paids1_xlsx,uploaded_xlsx_verified_parameter,unit_converted,"Uploaded workbook: 野生型 PaIDS1 動力學數據.xlsx, sheet 工作表1",,11.2 uM / 1000 = 0.0112 mM,PaIDS1 wild-type kinetic parameter; treated as verified for this registry. Uncertainty converted to mM in value_error.,PaIDS1,PAIDS1_GPP_het;PAIDS1_FPP_het;PAIDS1_GGPP_het,IPP,0.0018,mM,Recorded for future Michaelis-Menten mode; V8 capacityOnly does not use Km. IPP appears in all PaIDS1 chain-extension reactions.,野生型 PaIDS1 動力學數據.xlsx,P067,PaIDS1 對 IPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,A,0.0112,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,沿用並由本次 PaIDS1 原始檔重新核對；第一階段不生效。,野生型 PaIDS1 動力學數據(1).xlsx，工作表1；2026-07-26 重新核對,PaIDS1 wild-type kinetic parameter; treated as verified for this registry. Uncertainty converted to mM in value_error.
Vmax.PaIDS1_IPP,Vmax,PaIDS1_IPP,1.52,nmol/min/mg_protein,1.52±0.08 nmol/min/mg_protein,verified_from_uploaded_paids1_xlsx,uploaded_xlsx_verified_parameter,match,"Uploaded workbook: 野生型 PaIDS1 動力學數據.xlsx, sheet 工作表1",,COBRA flux conversion in V8: current_code_value * PaIDS1_mg_per_gDW * 60 / 1e6 = mmol/gDW/hr,PaIDS1 wild-type specific activity; treated as verified. The current_code_value is intentionally kept in source unit because protein expression mass is a scenario parameter.,PaIDS1,PAIDS1_GPP_het;PAIDS1_FPP_het;PAIDS1_GGPP_het,IPP,0.08,nmol/min/mg_protein,"V8 PaIDS1_GPP capacity candidate; code should use min(Vmax.PaIDS1_IPP,Vmax.PaIDS1_DMAPP) for PAIDS1_GPP_het.",野生型 PaIDS1 動力學數據.xlsx,P068,PaIDS1 對 IPP 的比活性 Vmax,PaIDS1 的量測比活性；需乘上 PaIDS1 mg/gDW 才能換成 COBRA 通量。,A,1.52,nmol/min/mg_protein,registry_runtime_input,true,"V9 PaIDS1_GPP capacity candidate; code should use min(Vmax.PaIDS1_IPP,Vmax.PaIDS1_DMAPP) for PAIDS1_GPP_het.",,,,,,,,沿用並由本次 PaIDS1 原始檔重新核對。,野生型 PaIDS1 動力學數據(1).xlsx，工作表1；2026-07-26 重新核對,PaIDS1 wild-type specific activity; treated as verified. The current_code_value is intentionally kept in source unit because protein expression mass is a scenario parameter.
Km.PaIDS1_DMAPP,Km,PaIDS1_DMAPP,0.0195,mM,19.5±2.6 uM,verified_from_uploaded_paids1_xlsx,uploaded_xlsx_verified_parameter,unit_converted,"Uploaded workbook: 野生型 PaIDS1 動力學數據.xlsx, sheet 工作表1",,19.5 uM / 1000 = 0.0195 mM,PaIDS1 wild-type kinetic parameter; treated as verified for this registry. Uncertainty converted to mM in value_error.,PaIDS1,PAIDS1_GPP_het,DMAPP,0.0026,mM,Recorded for future Michaelis-Menten mode; V8 capacityOnly does not use Km. DMAPP is substrate for PAIDS1_GPP_het.,野生型 PaIDS1 動力學數據.xlsx,P069,PaIDS1 對 DMAPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,A,0.0195,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,沿用並由本次 PaIDS1 原始檔重新核對；第一階段不生效。,野生型 PaIDS1 動力學數據(1).xlsx，工作表1；2026-07-26 重新核對,PaIDS1 wild-type kinetic parameter; treated as verified for this registry. Uncertainty converted to mM in value_error.
